1	najblizszy sklep: 0 	czas przejscia: 7.5 min 	odl. do sklepu: 0.5 km 		droga do sklepu: 1->0
2	najblizszy sklep: 0 	czas przejscia: 37.5 min 	odl. do sklepu: 2.5 km 		droga do sklepu: 2->1->0
4	najblizszy sklep: 12 	czas przejscia: 30.0 min 	odl. do sklepu: 2.0 km 		droga do sklepu: 4->12
5	najblizszy sklep: 12 	czas przejscia: 7.5 min 	odl. do sklepu: 0.5 km 		droga do sklepu: 5->12
6	najblizszy sklep: 0 	czas przejscia: 30.0 min 	odl. do sklepu: 2.0 km 		droga do sklepu: 6->7->0
7	najblizszy sklep: 0 	czas przejscia: 15.0 min 	odl. do sklepu: 1.0 km 		droga do sklepu: 7->0
8	najblizszy sklep: 0 	czas przejscia: 30.0 min 	odl. do sklepu: 2.0 km 		droga do sklepu: 8->0
9	najblizszy sklep: 0 	czas przejscia: 30.0 min 	odl. do sklepu: 2.0 km 		droga do sklepu: 9->10->7->0
10	najblizszy sklep: 0 	czas przejscia: 22.5 min 	odl. do sklepu: 1.5 km 		droga do sklepu: 10->7->0
13	najblizszy sklep: 12 	czas przejscia: 7.5 min 	odl. do sklepu: 0.5 km 		droga do sklepu: 13->12
14	najblizszy sklep: 12 	czas przejscia: 37.5 min 	odl. do sklepu: 2.5 km 		droga do sklepu: 14->13->12
15	najblizszy sklep: 12 	czas przejscia: 37.5 min 	odl. do sklepu: 2.5 km 		droga do sklepu: 15->16->12
16	najblizszy sklep: 12 	czas przejscia: 7.5 min 	odl. do sklepu: 0.5 km 		droga do sklepu: 16->12
17	najblizszy sklep: 12 	czas przejscia: 7.5 min 	odl. do sklepu: 0.5 km 		droga do sklepu: 17->12
18	najblizszy sklep: 12 	czas przejscia: 37.5 min 	odl. do sklepu: 2.5 km 		droga do sklepu: 18->16->12
19	najblizszy sklep: 12 	czas przejscia: 52.5 min 	odl. do sklepu: 3.5 km 		droga do sklepu: 19->18->16->12
20	najblizszy sklep: 12 	czas przejscia: 30.0 min 	odl. do sklepu: 2.0 km 		droga do sklepu: 20->21->17->12
21	najblizszy sklep: 12 	czas przejscia: 15.0 min 	odl. do sklepu: 1.0 km 		droga do sklepu: 21->17->12
22	najblizszy sklep: 0 	czas przejscia: 30.0 min 	odl. do sklepu: 2.0 km 		droga do sklepu: 22->10->7->0
23	najblizszy sklep: 0 	czas przejscia: 45.0 min 	odl. do sklepu: 3.0 km 		droga do sklepu: 23->22->10->7->0
